Mouse # / gating level,Statistic (%),# of Cells
1192 tumor.fcs/All Cells,48.6,3387953
1192 tumor.fcs/All Cells/Single Cells,86.4,2928460
1192 tumor.fcs/All Cells/Single Cells/Single Cells,95.1,2786276
1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live,87.8,2445490
1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,95.8,2341828
1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,82.1,1923713
1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,11.3,216932
1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,13.4,256902
"1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.015,349
"1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",77.2,1807938
"1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",6.47,151598
"1192 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",16.3,381943
1193 tumor.fcs,9658400,
1193 tumor.fcs/All Cells,45.9,4433479
1193 tumor.fcs/All Cells/Single Cells,58.9,2609138
1193 tumor.fcs/All Cells/Single Cells/Single Cells,89.9,2346581
1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live,85.6,2008024
1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,94.3,1893179
1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,84.2,1594864
1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,43.5,693116
1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,46.5,742219
"1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.054,1017
"1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",78.9,1494585
"1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",8.95,169469
