Mouse# / gating level ,Statistic (%) ,# of Cells
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,60.3,38
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,6.78,288
1139 TUMOR.fcs,,1132248
1139 TUMOR.fcs/Lymphocytes,14.8,167853
1139 TUMOR.fcs/Lymphocytes/Single Cells,96,161086
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live,65.9,106090
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+,83.6,88647
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,19.3,17141
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,31.2,5347
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,33.7,5768
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,9.93,573
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.84,337
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,73.2,4221
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.41,139
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,6.45,372
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.18,4594
1163 tumor.fcs,,4468984
1163 tumor.fcs/Lymphocytes,12.6,562875
1163 tumor.fcs/Lymphocytes/Single Cells,92.2,518972
1163 tumor.fcs/Lymphocytes/Single Cells/Live,72.1,374339
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,95,355688
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,27.7,98676
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,21.9,21562
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,41,40481
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,62.7,25391
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.75,710
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,11.3,4572
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.98,1207
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,34.3,13893
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.31,18890
1164 tumor.fcs,,7743680
1164 tumor.fcs/Lymphocytes,14,1082391
1164 tumor.fcs/Lymphocytes/Single Cells,95,1028033
1164 tumor.fcs/Lymphocytes/Single Cells/Live,55.5,570794
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,19,108383
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,9.39,10179
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,61,6213
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,22.1,2250
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,67.6,1521
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,10,226
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,25,563
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,1.51,34
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,39,877
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0.63,679
1165 dead.fcs,,10600
1165 dead.fcs/Lymphocytes,0.41,43
1165 dead.fcs/Lymphocytes/Single Cells,100,43
1165 dead.fcs/Lymphocytes/Single Cells/Live,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,0,0
